company_size,product_category,product_subcategory,NAICS,NAICS_description,reformulation_activity,cost_type,5th Percentile,Mean,95th Percentile
Large Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,Analytical tests,Total Costs,0,0,0
Large Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,Analytical tests,Per Formula Costs,0,0,0
Total,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,Analytical tests,Total Costs,0,0,0
Total,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,Analytical tests,Per Formula Costs,0,0,0
Small Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,Consumer tests,Total Costs,0,0,0
Small Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,Consumer tests,Per Formula Costs,0,0,0
Medium Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,Consumer tests,Total Costs,496954.3765,629562.15,777859.012
Medium Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,Consumer tests,Per Formula Costs,4724.3499999999995,5985,7394.799999999999
Large Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,Consumer tests,Total Costs,1641024.2999999998,2493425.0999999996,3157167.3
Large Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,Consumer tests,Per Formula Costs,16328.599999999999,24810.199999999997,31414.6
Total,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,Consumer tests,Total Costs,2137978.6764999996,3122987.2499999995,3935026.312
Total,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,Consumer tests,Per Formula Costs,9909.97810559006,14475.698757763972,18239.66956521739
